hurs,evspsbl,tas,treeFrac
75.34393,6.43E-05,293.88635,0.44380075
79.700745,5.24E-05,294.53006,0.5247926
75.914665,5.79E-05,294.87564,0.5651846
73.56428,5.73E-05,294.01315,0.5940777
72.52126,5.60E-05,292.60565,0.5983014
71.80226,6.53E-05,291.5173,0.39300087
73.87392,4.33E-05,290.52402,0.19238667
73.93559,4.40E-05,289.77823,0.15681128
75.327515,4.40E-05,289.77203,0.16591746
70.0606,5.41E-05,289.66714,0.19299655
75.89823,3.41E-05,291.55515,0.2399308
72.929535,6.00E-05,292.49802,0.35007071
78.87198,5.56E-05,293.7326,0.4824308
78.143524,7.19E-05,294.2962,0.5424838
78.824554,5.31E-05,294.27808,0.5740468
73.96219,5.79E-05,293.20007,0.60050106
71.43764,5.29E-05,292.09872,0.5467306
72.57876,4.41E-05,291.2404,0.33272815
71.248726,5.36E-05,290.683,0.17754288
70.14589,5.85E-05,289.45676,0.16184331
74.022415,4.37E-05,289.76294,0.17232987
74.7471,4.75E-05,290.36417,0.19460596
74.92692,4.03E-05,291.1902,0.2465638
74.60012,4.28E-05,292.9989,0.38364357
76.495804,6.23E-05,293.88675,0.49751657
79.97331,6.62E-05,294.38266,0.54256475
77.12296,6.26E-05,294.31155,0.5744381
80.1012,5.07E-05,293.70526,0.60034686
76.977356,4.72E-05,292.78497,0.5881777
74.201546,5.29E-05,291.84692,0.3493757
70.60217,5.58E-05,290.09958,0.18256614
70.85002,5.39E-05,289.0622,0.16248874
73.688644,3.64E-05,289.93494,0.16879766
77.46819,4.20E-05,290.7781,0.18977962
75.535965,3.67E-05,291.5154,0.24622235
78.96103,3.39E-05,293.9205,0.3528743
74.429,6.26E-05,295.31387,0.4805644
77.47438,6.33E-05,294.894,0.53499544
76.94696,5.49E-05,295.18814,0.56818134
72.93075,6.43E-05,293.762,0.5935551
73.98545,5.11E-05,292.79288,0.59804446
72.58704,5.06E-05,291.53458,0.36620668
72.951004,7.57E-05,290.3471,0.18485156
75.381195,4.29E-05,289.22678,0.16215071
74.83316,5.09E-05,289.16376,0.17021157
71.85121,4.80E-05,289.14944,0.19074562
75.21463,4.58E-05,290.31757,0.24348126
78.95978,3.96E-05,291.98697,0.34496576
79.40204,7.36E-05,293.1886,0.42378667
80.23165,6.28E-05,293.51703,0.4961739
84.166664,4.61E-05,293.9272,0.54264414
76.94946,5.50E-05,293.46283,0.5762186
73.01989,5.50E-05,292.15988,0.5961869
74.881454,4.84E-05,291.13397,0.41629058
70.43427,5.80E-05,290.16873,0.1851042
70.05303,5.08E-05,289.01865,0.15088242
71.31455,6.05E-05,288.57715,0.15743004
74.25685,3.12E-05,289.95547,0.18000434
78.49866,3.58E-05,291.81366,0.21945055
76.13884,5.32E-05,292.29117,0.31716856
76.319824,6.26E-05,293.31442,0.4069752
75.95426,7.09E-05,293.76694,0.48764047
76.894745,5.70E-05,293.88287,0.54270816
76.39314,4.71E-05,293.2092,0.57404584
83.04133,3.05E-05,293.0623,0.5281975
73.00596,6.37E-05,291.47308,0.308856
68.88152,7.16E-05,289.3766,0.16739142
74.0145,3.91E-05,289.23132,0.15480775
75.821655,3.59E-05,289.4001,0.16342366
85.86735,2.17E-05,291.27466,0.18186805
77.35189,5.00E-05,292.10815,0.21849036
75.45896,5.17E-05,292.75714,0.3270734
76.84245,5.83E-05,294.35635,0.4316136
75.767586,7.24E-05,294.4456,0.5182817
76.401474,4.75E-05,294.7802,0.5583497
74.710304,6.20E-05,294.01013,0.58566767
76.56866,4.81E-05,293.1746,0.49258378
72.771126,6.46E-05,291.22852,0.29506227
74.098404,5.24E-05,290.82062,0.16317764
71.48553,5.53E-05,289.2324,0.15140088
73.156654,4.80E-05,289.73267,0.15727949
76.354866,4.43E-05,290.403,0.17708251
77.11802,4.04E-05,291.38925,0.21838842
74.11019,5.69E-05,292.38382,0.30821076
78.0833,5.89E-05,293.54916,0.4567258
82.17957,5.13E-05,294.63416,0.5391867
75.64971,7.51E-05,294.26038,0.5738796
77.10359,4.81E-05,293.5107,0.6002275
71.56106,5.14E-05,292.08566,0.5648601
74.593994,4.62E-05,291.1148,0.3165086
72.033394,6.74E-05,290.42773,0.16263744
71.436775,5.50E-05,290.11734,0.15526852
69.19546,5.65E-05,288.7676,0.16246626
74.69888,4.32E-05,289.93372,0.18304123
72.57381,5.54E-05,290.46097,0.24080552
75.34389,4.91E-05,292.42975,0.34671324
76.72576,6.09E-05,293.45688,0.43870232
85.29154,5.00E-05,294.39673,0.5054249
81.31065,6.81E-05,294.5416,0.54260594
78.39781,5.22E-05,293.5646,0.57273257
76.64209,5.07E-05,292.7951,0.48903033
70.67265,6.17E-05,291.0795,0.28177458
68.93874,5.66E-05,289.4322,0.16184832
71.80262,5.82E-05,288.91214,0.14998378
73.594505,3.60E-05,289.34674,0.15858608
72.92351,4.33E-05,289.56635,0.18111894
74.63636,4.38E-05,290.93613,0.23008311
75.12307,5.17E-05,292.53302,0.37885976
77.17446,5.79E-05,293.63162,0.50677997
75.22815,6.45E-05,294.0482,0.55917567
74.61748,5.77E-05,294.16858,0.585118
73.90821,5.09E-05,293.49902,0.6090118
73.413246,5.80E-05,291.88156,0.5832742
74.71025,4.23E-05,290.8568,0.35443357
71.13873,5.14E-05,289.79834,0.18201993
73.94879,4.80E-05,289.7354,0.15782514
71.279396,4.15E-05,289.16266,0.1662818
72.687225,4.81E-05,289.80792,0.18740377
83.74123,3.65E-05,291.69907,0.23489031
78.02484,4.36E-05,293.61487,0.30778366
75.0309,6.97E-05,294.3836,0.43417263
77.349724,6.92E-05,294.60953,0.52175945
73.63618,5.07E-05,294.79163,0.56419545
74.79855,6.18E-05,294.37805,0.5915603
