time,hurs,mrsos,evspsbl
380.5,75.34393,--,6.43E-05
410,79.700745,--,5.24E-05
439.5,75.914665,--,5.79E-05
470,73.56428,--,5.73E-05
500.5,72.52126,--,5.60E-05
531,71.80226,--,6.53E-05
561.5,73.87392,--,4.33E-05
592.5,73.93559,--,4.40E-05
623,75.327515,--,4.40E-05
653.5,70.0606,--,5.41E-05
684,75.89823,--,3.41E-05
714.5,72.929535,--,6.00E-05
745.5,78.87198,--,5.56E-05
775,78.143524,--,7.19E-05
804.5,78.824554,--,5.31E-05
835,73.96219,--,5.79E-05
865.5,71.43764,--,5.29E-05
896,72.57876,--,4.41E-05
926.5,71.248726,--,5.36E-05
957.5,70.14589,--,5.85E-05
988,74.022415,--,4.37E-05
1018.5,74.7471,--,4.75E-05
1049,74.92692,--,4.03E-05
1079.5,74.60012,--,4.28E-05
1110.5,76.495804,--,6.23E-05
1140,79.97331,--,6.62E-05
1169.5,77.12296,--,6.26E-05
1200,80.1012,--,5.07E-05
1230.5,76.977356,--,4.72E-05
1261,74.201546,--,5.29E-05
1291.5,70.60217,--,5.58E-05
1322.5,70.85002,--,5.39E-05
1353,73.688644,--,3.64E-05
1383.5,77.46819,--,4.20E-05
1414,75.535965,--,3.67E-05
1444.5,78.96103,--,3.39E-05
1475.5,74.429,--,6.26E-05
1505,77.47438,--,6.33E-05
1534.5,76.94696,--,5.49E-05
1565,72.93075,--,6.43E-05
1595.5,73.98545,--,5.11E-05
1626,72.58704,--,5.06E-05
1656.5,72.951004,--,7.57E-05
1687.5,75.381195,--,4.29E-05
1718,74.83316,--,5.09E-05
1748.5,71.85121,--,4.80E-05
1779,75.21463,--,4.58E-05
1809.5,78.95978,--,3.96E-05
1840.5,79.40204,--,7.36E-05
1870,80.23165,--,6.28E-05
1899.5,84.166664,--,4.61E-05
1930,76.94946,--,5.50E-05
1960.5,73.01989,--,5.50E-05
1991,74.881454,--,4.84E-05
2021.5,70.43427,--,5.80E-05
2052.5,70.05303,--,5.08E-05
2083,71.31455,--,6.05E-05
2113.5,74.25685,--,3.12E-05
2144,78.49866,--,3.58E-05
2174.5,76.13884,--,5.32E-05
2205.5,76.319824,--,6.26E-05
2235,75.95426,--,7.09E-05
2264.5,76.894745,--,5.70E-05
2295,76.39314,--,4.71E-05
2325.5,83.04133,--,3.05E-05
2356,73.00596,--,6.37E-05
2386.5,68.88152,--,7.16E-05
2417.5,74.0145,--,3.91E-05
2448,75.821655,--,3.59E-05
2478.5,85.86735,--,2.17E-05
2509,77.35189,--,5.00E-05
2539.5,75.45896,--,5.17E-05
2570.5,76.84245,--,5.83E-05
2600,75.767586,--,7.24E-05
2629.5,76.401474,--,4.75E-05
2660,74.710304,--,6.20E-05
2690.5,76.56866,--,4.81E-05
2721,72.771126,--,6.46E-05
2751.5,74.098404,--,5.24E-05
2782.5,71.48553,--,5.53E-05
2813,73.156654,--,4.80E-05
2843.5,76.354866,--,4.43E-05
2874,77.11802,--,4.04E-05
2904.5,74.11019,--,5.69E-05
2935.5,78.0833,--,5.89E-05
2965,82.17957,--,5.13E-05
2994.5,75.64971,--,7.51E-05
3025,77.10359,--,4.81E-05
3055.5,71.56106,--,5.14E-05
3086,74.593994,--,4.62E-05
3116.5,72.033394,--,6.74E-05
3147.5,71.436775,--,5.50E-05
3178,69.19546,--,5.65E-05
3208.5,74.69888,--,4.32E-05
3239,72.57381,--,5.54E-05
3269.5,75.34389,--,4.91E-05
3300.5,76.72576,--,6.09E-05
3330,85.29154,--,5.00E-05
3359.5,81.31065,--,6.81E-05
3390,78.39781,--,5.22E-05
3420.5,76.64209,--,5.07E-05
3451,70.67265,--,6.17E-05
3481.5,68.93874,--,5.66E-05
3512.5,71.80262,--,5.82E-05
3543,73.594505,--,3.60E-05
3573.5,72.92351,--,4.33E-05
3604,74.63636,--,4.38E-05
3634.5,75.12307,--,5.17E-05
3665.5,77.17446,--,5.79E-05
3695,75.22815,--,6.45E-05
3724.5,74.61748,--,5.77E-05
3755,73.90821,--,5.09E-05
3785.5,73.413246,--,5.80E-05
3816,74.71025,--,4.23E-05
3846.5,71.13873,--,5.14E-05
3877.5,73.94879,--,4.80E-05
3908,71.279396,--,4.15E-05
3938.5,72.687225,--,4.81E-05
3969,83.74123,--,3.65E-05
3999.5,78.02484,--,4.36E-05
4030.5,75.0309,--,6.97E-05
4060,77.349724,--,6.92E-05
4089.5,73.63618,--,5.07E-05
4120,74.79855,--,6.18E-05
4150.5,76.4163,--,4.57E-05
4181,72.52927,--,7.03E-05
4211.5,71.443825,--,6.89E-05
4242.5,72.389824,--,5.13E-05
4273,73.066086,--,5.66E-05
4303.5,71.480774,--,4.95E-05
4334,74.54303,--,4.70E-05
4364.5,76.18842,--,4.85E-05
4395.5,78.01131,--,5.92E-05
4425,81.12602,--,5.39E-05
4454.5,77.03078,--,5.70E-05
4485,77.92494,--,6.07E-05
4515.5,72.52692,--,5.61E-05
4546,72.03973,--,6.31E-05
4576.5,73.13043,--,4.82E-05
4607.5,70.74796,--,7.09E-05
4638,69.32507,--,5.65E-05
4668.5,71.02727,--,5.01E-05
4699,73.29979,--,4.25E-05
4729.5,78.74573,--,5.09E-05
4760.5,77.48391,--,5.33E-05
4790,77.10088,--,6.63E-05
4819.5,80.16779,--,5.45E-05
4850,79.42791,--,4.27E-05
4880.5,71.25855,--,6.14E-05
4911,73.258896,--,5.50E-05
4941.5,77.59412,--,4.37E-05
4972.5,73.62007,--,5.23E-05
5003,68.142075,--,6.08E-05
5033.5,73.704475,--,5.42E-05
5064,77.05513,--,3.23E-05
5094.5,74.1007,--,5.06E-05
5125.5,75.274414,--,4.36E-05
5155,76.538315,--,5.94E-05
5184.5,79.87439,--,5.79E-05
5215,76.135,--,5.39E-05
5245.5,71.71181,--,6.11E-05
5276,78.42315,--,4.29E-05
5306.5,75.76027,--,5.80E-05
5337.5,71.28051,--,5.99E-05
5368,75.03554,--,3.95E-05
5398.5,75.03229,--,4.24E-05
5429,73.22471,--,4.48E-05
5459.5,78.33213,--,5.43E-05
5490.5,78.297966,--,6.55E-05
5520,79.75655,--,5.81E-05
5549.5,81.48022,--,5.51E-05
5580,79.96795,--,4.56E-05
5610.5,78.28076,--,5.13E-05
5641,71.95731,--,5.34E-05
5671.5,70.512,--,6.96E-05
5702.5,70.810745,--,5.33E-05
5733,74.116005,--,5.78E-05
5763.5,75.9766,--,4.59E-05
5794,77.97028,--,3.06E-05
5824.5,76.394966,--,4.25E-05
5855.5,76.043846,--,7.08E-05
5885,79.59024,--,5.81E-05
5914.5,80.06047,--,5.34E-05
5945,74.52607,--,4.52E-05
5975.5,70.94781,--,6.79E-05
6006,75.327354,--,5.36E-05
6036.5,77.85938,--,3.92E-05
6067.5,73.96635,--,5.28E-05
6098,72.65765,--,4.74E-05
6128.5,73.465614,--,4.34E-05
6159,77.204445,--,4.21E-05
6189.5,77.81053,--,4.20E-05
6220.5,75.76103,--,5.40E-05
6250,77.972626,--,5.62E-05
6279.5,78.31629,--,5.08E-05
6310,79.255486,--,5.25E-05
6340.5,77.66379,--,3.86E-05
6371,71.83295,--,5.88E-05
6401.5,70.14952,--,6.81E-05
6432.5,71.37197,--,5.32E-05
6463,71.56909,--,5.45E-05
6493.5,71.20964,--,4.62E-05
6524,73.14229,--,4.11E-05
6554.5,77.80553,--,4.79E-05
6585.5,82.42328,--,5.36E-05
6615,77.48235,--,7.06E-05
6644.5,82.94457,--,5.02E-05
6675,79.05665,--,5.85E-05
6705.5,75.47441,--,4.92E-05
6736,71.08895,--,5.77E-05
6766.5,74.966774,--,4.25E-05
6797.5,70.26394,--,4.63E-05
6828,74.386314,--,5.15E-05
6858.5,74.81314,--,4.61E-05
6889,75.43866,--,4.73E-05
6919.5,74.80699,--,6.01E-05
6950.5,83.18357,--,5.21E-05
6980,81.70312,--,6.73E-05
7009.5,80.68373,--,6.54E-05
7040,75.29931,--,5.79E-05
7070.5,77.77259,--,4.93E-05
7101,75.925316,--,7.16E-05
7131.5,70.14193,--,4.95E-05
7162.5,75.907455,--,4.23E-05
7193,75.31458,--,4.07E-05
7223.5,72.77146,--,4.43E-05
7254,74.86727,--,5.25E-05
7284.5,72.964935,--,5.60E-05
7315.5,73.478195,--,6.45E-05
7345,76.64871,--,7.13E-05
7374.5,75.47534,--,7.46E-05
7405,76.556564,--,5.43E-05
7435.5,74.82288,--,4.97E-05
7466,73.194916,--,5.84E-05
7496.5,73.489586,--,5.23E-05
7527.5,69.715675,--,6.87E-05
7558,69.978294,--,5.52E-05
7588.5,72.167816,--,3.95E-05
